,code,pe_ratio
317,600725.XSHG,2.08
318,600781.XSHG,197.9
319,300629.XSHE,128.81
320,000526.XSHE,-39.6
321,000595.XSHE,-47.0
322,600719.XSHG,-294.63
323,000953.XSHE,-21.55
324,000159.XSHE,88.13
325,603238.XSHG,64.08
326,300161.XSHE,136.39
327,300434.XSHE,203.14
328,600810.XSHG,29.54
329,000721.XSHE,218.9
330,300371.XSHE,65.29
331,002231.XSHE,868.47
332,002629.XSHE,108.77
333,603822.XSHG,84.3
334,300390.XSHE,203.03
335,000551.XSHE,65.8
336,002125.XSHE,130.96
337,600275.XSHG,-83.51
338,600898.XSHG,242.54
339,600257.XSHG,534.27
340,603089.XSHG,40.18
341,601007.XSHG,87.02
342,300030.XSHE,122.84
343,002337.XSHE,209.53
344,002723.XSHE,1073.13
345,002487.XSHE,65.99
346,600097.XSHG,61.26
347,603086.XSHG,35.27
348,601313.XSHG,26.05
349,300536.XSHE,70.3
350,002006.XSHE,54.92
351,601177.XSHG,133609.0
352,000679.XSHE,28.41
353,300535.XSHE,59.09
354,603887.XSHG,65.99
355,002452.XSHE,31.15
356,000567.XSHE,187.36
357,300453.XSHE,106.96
358,300163.XSHE,57.02
359,600962.XSHG,-1567.86
360,002205.XSHE,254.53
361,002234.XSHE,417.83
362,300380.XSHE,-121.01
363,600802.XSHG,73.3
364,002184.XSHE,-276.28
365,300121.XSHE,20.8
366,002119.XSHE,73.17
367,300402.XSHE,-44.93
368,300312.XSHE,110.35
369,000590.XSHE,69.52
370,000638.XSHE,-1451.9399
371,300470.XSHE,36.97
372,600706.XSHG,53.15
373,603960.XSHG,84.4
374,002243.XSHE,116.48
375,300647.XSHE,68.36
376,300416.XSHE,69.24
377,000692.XSHE,370.72
378,300423.XSHE,144.18
379,300234.XSHE,237.8
380,300035.XSHE,131.0
381,300290.XSHE,115.22
382,300525.XSHE,119.62
383,002211.XSHE,148.72
384,300492.XSHE,167.61
385,002328.XSHE,38.06
386,000859.XSHE,102.51
387,300164.XSHE,146.28
388,300076.XSHE,-92.19
389,603828.XSHG,66.17
390,300167.XSHE,93.76
391,600222.XSHG,854.82
392,300412.XSHE,65.96
393,300505.XSHE,61.51
394,000993.XSHE,266.25
395,300192.XSHE,103.73
396,000868.XSHE,205.99
397,000790.XSHE,46.31
398,603266.XSHG,44.68
399,300478.XSHE,105.75
400,300449.XSHE,128.09
401,600370.XSHG,77.94
402,300648.XSHE,70.82
403,002593.XSHE,53.0
404,002607.XSHE,47.68
405,603518.XSHG,34.68
406,002566.XSHE,219.19
407,300375.XSHE,23.15
408,600421.XSHG,1154.8101
409,300345.XSHE,-809.82
410,600333.XSHG,63.32
411,300619.XSHE,68.58
412,002652.XSHE,36.98
413,600247.XSHG,-7.09
414,300400.XSHE,63.74
415,000952.XSHE,26.26
416,603309.XSHG,47.02
417,000812.XSHE,107.11
418,002779.XSHE,110.24
419,603908.XSHG,71.31
420,002817.XSHE,75.02
421,300080.XSHE,191.16
422,600365.XSHG,1625.99
423,300472.XSHE,219.05
424,600982.XSHG,35.26
425,603022.XSHG,138.1
426,002753.XSHE,35.17
427,600248.XSHG,32.04
428,600712.XSHG,-107.86
429,000419.XSHE,37.92
430,300040.XSHE,26.56
431,600361.XSHG,-18.22
432,002755.XSHE,641.67
433,000548.XSHE,63.54
434,600969.XSHG,37.72
435,002199.XSHE,100.44
436,000633.XSHE,133.1
437,600793.XSHG,-112.52
438,600408.XSHG,-7.49
439,600127.XSHG,505.63
440,002858.XSHE,108.51
441,300488.XSHE,50.92
442,300280.XSHE,3366.26
443,300295.XSHE,37.31
444,300513.XSHE,91.72
445,002363.XSHE,63.29
446,603633.XSHG,73.85
447,300385.XSHE,42.74
448,002645.XSHE,63.49
449,002819.XSHE,145.23
450,002046.XSHE,230.38
451,000573.XSHE,19.47
452,002828.XSHE,59.88
453,300610.XSHE,66.76
454,300550.XSHE,70.87
455,300154.XSHE,47.63
456,600243.XSHG,411.83
457,600833.XSHG,82.32
458,300165.XSHE,65.57
459,603197.XSHG,26.98
460,600784.XSHG,-135.11
461,300272.XSHE,42.02
462,603229.XSHG,66.64
463,603538.XSHG,48.28
464,002785.XSHE,161.11
465,300093.XSHE,813.42
466,000962.XSHE,79.12
467,002553.XSHE,48.68
468,603336.XSHG,59.47
469,600992.XSHG,174.02
470,600727.XSHG,126.36
471,000586.XSHE,1893.11
472,002134.XSHE,-43.85
473,600599.XSHG,130.82
474,300603.XSHE,93.34
475,002865.XSHE,67.35
476,300069.XSHE,182.63
477,002017.XSHE,47.3
478,002560.XSHE,49.83
479,603726.XSHG,43.07
480,002165.XSHE,34.0
481,300281.XSHE,116.07
482,600791.XSHG,76.36
483,002088.XSHE,34.16
484,300399.XSHE,318.26
485,300123.XSHE,158.85
486,000153.XSHE,80.24
487,002214.XSHE,117.38
488,300487.XSHE,58.0
489,300084.XSHE,337.61
490,600747.XSHG,-41.63
491,002469.XSHE,-112330.0234
492,603520.XSHG,49.68
493,603333.XSHG,-54.59
494,000922.XSHE,-9.49
495,603606.XSHG,74.31
496,600865.XSHG,50.2
497,002490.XSHE,-6.47
498,002526.XSHE,497.16
499,300246.XSHE,56.29
500,600543.XSHG,226.14
501,002757.XSHE,53.73
502,300537.XSHE,92.86
503,600345.XSHG,34.25
504,300521.XSHE,84.13
505,300074.XSHE,52.58
506,002227.XSHE,365.62
507,002381.XSHE,82.81
508,300588.XSHE,79.95
509,600203.XSHG,66.26
510,300162.XSHE,135.77
511,300175.XSHE,49.54
512,600882.XSHG,65.35
513,600405.XSHG,147.99
514,002825.XSHE,62.37
515,600476.XSHG,486.96
516,600671.XSHG,1305.42
517,603955.XSHG,57.38
518,300293.XSHE,309.45
519,002336.XSHE,89.76
520,002193.XSHE,113.97
521,600358.XSHG,-25.46
522,603577.XSHG,65.02
523,600665.XSHG,15.85
524,600355.XSHG,1170.79
525,300189.XSHE,153.34
526,002816.XSHE,129.37
527,600107.XSHG,936.22
528,600131.XSHG,32.74
529,600378.XSHG,133.83
530,002674.XSHE,54.67
531,603078.XSHG,57.92
532,300609.XSHE,71.25
533,000537.XSHE,18.99
